Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles
2017-01-21,"Detroit, MI",4000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.freep.com/story/news/local/michigan/detroit/2017/01/21/womens-march-on-washington-detroit/96882130/,1
2017-01-21,"Riverside, CA",4000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.pe.com/articles/riverside-823709-women-march.html,1
2017-01-21,"Bend, OR",3900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.bendbulletin.com/localstate/5002977-151/thousands-in-bend-join-international-womens-march?referrer=bullet10,1
2017-01-21,"Portsmouth, NH",3900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.seacoastonline.com/news/20170121/portsmouth-womens-march-draws-thousands,1
2017-01-21,"Laguna Beach, CA",3725,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,https://www.lagunabeachindy.com/womens-march-unites-peaceful-protest/,1
2017-01-21,"Roanoke, VA",3675,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.wdbj7.com/content/news/Thousands-marched-for-women-in-Roanoke-411421475.html,2
2017-01-21,"Naples, FL",3625,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.nbc-2.com/story/34313013/womens-march-on-dc-echoed-in-naples,1
2017-01-21,"Topeka, KS",3450,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://cjonline.com/news/local/2017-01-21/women-s-march-topeka-draws-thousands-thumps-trump,1
2017-01-21,"Knoxville, TN",3350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.knoxnews.com/picture-gallery/news/local/tennessee/2017/01/21/photos-thousands-attend-knoxvilles-womens-march/96893668/,2
2017-01-21,"Sioux Falls, SD",3300,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kdlt.com/2017/01/23/womens-march-sf-organizers-overwhelmed-turnout/,4
2017-01-21,"Key West, FL",3225,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.flkeysnews.com/news/local/article128061044.html,1
2017-01-21,"Kona, HI",3225,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.westhawaiitoday.com/news/local-news/women-s-march-draws-massive-crowd-kona,1
2017-01-21,"Erie, PA",3175,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.goerie.com/news/20170121/thousands-demonstrate-in-womens-march-on-erie,1
2017-01-21,"Kahului, Maui, HI",3075,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.mauinews.com/news/local-news/2017/01/marching-into-history-peaceful-protest-maui-style/,1
2017-01-21,"Dayton, OH",3000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://wyso.org/post/thousands-attend-dayton-womens-march-courthouse-square,1
2017-01-21,"Napa, CA",3000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://napavalleyregister.com/news/local/napa-women-s-march-spreads-message-of-love-hope-solidarity/article_53aae273-59e4-5b49-ab51-3e4a13a6e729.html,2
2017-01-21,"Sonoma, CA",3000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.sonomanews.com/news/6572152-181/thousands-turn-up-for-sonoma?artslide=0,1
2017-01-21,"Traverse City, MI",3000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.record-eagle.com/news/thousands-gather-for-traverse-city-women-s-march/article_547cdcb0-e029-11e6-be94-83e0491aa877.html,1
2017-01-21,"Wichita, KS",3000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kansas.com/news/local/article127951994.html,2
2017-01-21,"Anchorage, AK",2900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.alaskapublic.org/2017/01/21/womens-march-draws-thousands-in-downtown-anchorage/,1
